우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06322|서울특별시|Seoul|강남구|Gangnam-gu|||116804166611|언주로6길|Eonju-ro 6-gil|0|4|4|1168010300106600034026338||드림빌|1168010300|개포동|||0|660|01|34||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166061|개포로31길|Gaepo-ro 31-gil|0|29|3|1168010300102650006020223||동산빌|1168010300|개포동||개포4동|0|1265|01|6||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166064|개포로35길|Gaepo-ro 35-gil|0|7|0|1168010300102620007020342||동산빌리지|1168010300|개포동||개포4동|0|1262|01|7||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|238|0|1168010300112170004000001||동우빌딩|1168010300|개포동||개포4동|0|1217|01|4||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|246|0|1168010300102120001020466||동림빌딩|1168010300|개포동||개포4동|0|1212|01|1||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|51|0|1168010300102000009020796||동방재지|1168010300|개포동||개포4동|0|1200|01|9||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|70|0|1168010300102290011020754||동성빌딩|1168010300|개포동||개포4동|0|1229|02|11||
06358|서울특별시|Seoul|강남구|Gangnam-gu|||116802000006|양재대로|Yangjae-daero|0|486|0|1168010300105650003000001||도선여객정비공장|1168010300|개포동||개포1동|0|565|01|3||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|18|0|1168010300112060002000001||더라움|1168010300|개포동||개포4동|0|1206|01|2||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|21|0|1168010300112540005000001||에코하우스|1168010300|개포동||개포4동|0|1254|01|5||
06334|서울특별시|Seoul|강남구|Gangnam-gu|||116804166040|개포로109길|Gaepo-ro 109-gil|0|69|0|1168010300100120002000001||엘지개포자이|1168010300|개포동||일원2동|0|12|01|2||
06328|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|513|0|1168010300101830000019091||양전초등학교|1168010300|개포동||개포2동|0|183|01|0||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|14|0|1168010300102100004020494||어린이집|1168010300|개포동||개포4동|0|1210|01|4||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|10|20|1168010300102360009020723||에덴빌딩|1168010300|개포동||개포4동|0|1236|01|9||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166498|선릉로8길|Seolleung-ro 8-gil|0|5|0|1168010300101660004026808||에버그린|1168010300|개포동||개포2동|0|166|01|4||
06322|서울특별시|Seoul|강남구|Gangnam-gu|||116804166611|언주로6길|Eonju-ro 6-gil|0|22|0|1168010300106600031019750||에버하우스|1168010300|개포동|||0|660|01|31||
